,en,vn,word_type,word_type_vn
47,asacria,không có xương cùng (quái hình),n,danh từ
48,asafetida,a ngùy (cây),n,danh từ
49,asaphia,nói ngọng (tật),n,danh từ
50,asbestiform,dạng amian,a,tính từ
51,asbestos,amian,n,danh từ
52,asbestosis,bệnh bụi amian,n,danh từ
53,ascariasis,giun đũa (bệnh),n,danh từ
54,ascaricidal,diệt giun đũa,a,tính từ
55,ascaricide,"diệt giun đũa, diệt giun đũa (thuốc)",a.n,tính từ
56,ascarid,giun đũa,n,danh từ
57,Ascaridia,Giun đũa (bộ),n,danh từ
58,Ascaridoidea,Giun đũa (tổng họ),n,danh từ
59,ascaris,giun đũa,n,danh từ
60,Ascaris,giun đũa (loài),n,danh từ
61,ascending,lên,a,tính từ
62,ascertainment,"giả định (sự), tìm chọn (sự) (DTH) ",n,danh từ
63,asceticism,khổ hạnh (chủ nghĩa ),n,danh từ
64,ascitogenous,sinh cổ trướng,a,tính từ
65,Asclepias,bông tai (cây),n,danh từ
66,asco-,"nang, túi",pref.,tiền tố
67,ascobemia,axit ascobic-huyết,n,danh từ
68,ascoburia,axit ascobic-niệu,n,danh từ
69,ascocarp,thể quả túi; thể quả bào tử,n,danh từ
70,ascogonium,"thể sinh túi, thể sinh nang",n,danh từ
71,ascomycete,nấm túi,n,danh từ
72,Ascomycetes,"Ascomycetes, Nấm túi (lớp)",n,danh từ
73,ascorbemia,acid ascorbic-huyết,n,danh từ
74,ascorburia,acid ascorbic-niệu,n,danh từ
75,ascospore,"bào tử túi, bào tử nang",n,danh từ
76,ascus,"túi, nang",n,danh từ
77,ase,-ase (enzym),suff.),hậu tố
78,asecretory,không tiết,a,tính từ
79,asepsis,"vô khuẩn, khử khuẩn",n,danh từ
80,aseptic,vô khuẩn,a,tính từ
81,asepticism,vô khuẩn ngoại khoa (nguyên lý),n,danh từ
82,asexual,vô tính,a,tính từ
83,asexuality,vô tính (tính chất) (không phân biệt đực cái),n,danh từ
84,asexualization,tuyệt sinh,n,danh từ
85,asialia,kiệt nước bọt,n,danh từ
86,asiderosis,giảm dự trữ sắt (ch),n,danh từ
87,Asimina,Na (họ),n,danh từ
88,asis,"trạng thái, tình huống bệnh",suff.,hậu tố
89,asitia,chán ăn,n,danh từ
90,asoma,không thân thể (quái thai),n,danh từ
91,asomatognosia,mất nhận thức thân thể (sự),n,danh từ
92,asomatophyte,thực vật không thân,n,danh từ
93,aspalasoma,hình chuột chũi (quái thai),n,danh từ
94,asparaginase,asparaginase,n,danh từ
95,asparagine,asparagin,n,danh từ
96,aspartase,aspatase,n,danh từ
97,aspartate,aspartat,n,danh từ
98,aspartic acid,acid aspartic,n,danh từ
99,aspecific,không đặc hiệu,a,tính từ
100,aspergilloma,u nấm Aspergillus,n,danh từ
101,Aspergillus,"nấm quạt, nấm cúc, Aspergillus",n,danh từ
102,aspermatism,thiếu tinh dịch; khó xuất tinh,n,danh từ
103,aspermatogenesis,thiếu phát triển tinh trùng (sự),n,danh từ
104,aspermia,thiếu tinh dịch,n,danh từ
105,asphygmia,vô mạch (ch),n,danh từ
106,asphyxiant,gây ngạt thở (chất),n,danh từ
107,asphyxiate,gây ngạt thở,v,động từ
108,asphyxiation,gây ngạt thở (sự).,n,danh từ
109,Aspidium,"rau khuyết , Aspidium",n,danh từ
110,aspiration,hút (sự),n,danh từ
111,aspirator,máy hút,n,danh từ
112,aspirin,aspirin,n,danh từ
113,asporous,không có bào tử,a,tính từ
114,assanation,cải thiện môi trường,n,danh từ
115,assay,"định lượng, xác đinh, xét nghiệm",n,danh từ
116,assessment,đánh giá (sự),n,danh từ
117,assident,đi kèm với bệnh,a,tính từ
118,assimilable,"đồng hóa được, tiêu hóa được",a,tính từ
119,assimilation,đồng hóa (sự),n,danh từ
120,assistant,trợ lý,n,danh từ
121,association,"liên kết, liên hơp, phối hợp (sự)",n,danh từ
122,associationism,liên tưởng (thuyết ),n,danh từ
123,assonance,lắp âm (ch),n,danh từ
124,assortment,"phân loại (sự), phân bố (sự) (nhiễm sắc thể trong phân bào); chọn lựa cùng loại (sự) (giao phối)",n,danh từ
125,astenospermia,suy nhược tinh trùng (ch),n,danh từ
126,aster,thể sao,n,danh từ
127,asterion,thóp sao,n,danh từ
128,asterixis,"loạn giữ tư thế, run chập chờn",n,danh từ
129,asternal,"không nối với xương ức, không có xương ức",a,tính từ
130,asternia,không có xương ức (quái tượng),n,danh từ
131,asteroid,hình sao,a,tính từ
132,asthenobiosis,đình sinh hoạt (sự) (như ngủ đông),n,danh từ
133,asthenocoria,suy nhược mống mắt,n,danh từ
134,asthenometer,nhược cơ kế,n,danh từ
135,asthenope,mỏi mắt (người),n,danh từ
136,asthenospermia,suy nhược tinh trùng (sự),n,danh từ
137,asthenoxia,không đủ sức oxy hóa,n,danh từ
138,asthma,hen (bh),n,danh từ
139,asthmatic,hen(th) ; hen (người),a.n,tính từ
140,asthmatiform,dạng hen,a,tính từ
141,asthmogenic,gây hen; gây hen (chất),a,tính từ
142,astigmagraph,loạn thị ký (dụng cụ),n,danh từ
143,astigmatometer,loạn thị kế,n,danh từ
144,astigmatometry,đo loạn thị (phép),n,danh từ
145,astigmatoscope,loạn thị kế,n,danh từ
146,astigmatoscopy,kiểm tra loạn thị (thuật),n,danh từ
147,astomatous,"không có miệng,  không lỗ thở (như một số tiên mao trùng)",a,tính từ
148,astomia,không có miệng (quái tượng),n,danh từ
149,astomus,không có miệng (quái thai),n,danh từ
150,astragalar,xương sên (th),a,tính từ
151,astragalectomy,cắt bỏ xương sên (thth),n,danh từ
152,astragalocalcanean,xương sên-gót (th),a,tính từ
153,astragalocrural,xương sên-cẳng chân (th),a,tính từ
154,astragaloscaphoid,xương sên-thuyền (th),a,tính từ
155,astragalotibial,xương sên-chày (th),a,tính từ
156,Astragalus,đậu ván dại (cây),n,danh từ
157,astral,sao (th),a,tính từ
158,astriction,làm săn (sự),n,danh từ
159,astringe,làm săn,v,động từ
160,astringent,"làm săn, làm se (chất)","a,n",tính từ
161,astro-,"sao, hình sao",pref.,tiền tố
162,astroblast,nguyên bào hình sao,n,danh từ
163,astroblastoma,u nguyên bào hình sao,n,danh từ
164,astrocyte,tế bào hình sao,n,danh từ
165,astrocytoma,u tế bào hình sao,n,danh từ
166,astrocytosis,tăng sinh tế bào hình sao (sự),n,danh từ
167,astroglia,thần kinh đệm tế bào hình sao,n,danh từ
168,astrokinetic,chuyển động trung thể (th),a,tính từ
169,astrophorous,tia hình sao (có),a,tính từ
170,astropyle,lỗ hình sao (ở nguyên sinh động vật),n,danh từ
171,astrostatic,tĩnh trạng của tâm động (th),a,tính từ
172,astrovirus,astrovirus (virut thể sao),n,danh từ
173,asulfurosis,thiếu lưu huỳnh (ch),n,danh từ
174,asyllabia,mất tạo âm tiết (ch),n,danh từ
175,asylum,"dưỡng trí viện, nhà cứu tế",n,danh từ
176,asymphytous,"phân ly, riệng biệt",a,tính từ
177,asymptomatic,vô triệu chứng,a,tính từ
178,asynapsis,"không gióng đôi (sự), không tiếp hợp (sự) (nhiễm sắc thể)",n,danh từ
179,asyndesis,loạn kết hợp ngôn từ,n,danh từ
180,asynechia,gián đoạn cấu trúc (sự),n,danh từ
181,asynovia,không tiết hoạt dịch (sự),n,danh từ
182,asyntaxia,phát triển phôi thai bất toàn (sự),n,danh từ
183,atactic,mất điều hòa,a,tính từ
184,atactiform,dạng mất điều hòa,a,tính từ
185,ataractic,"bình thản, thanh tịnh, an thần (thuốc)
","a,n",tính từ
186,ataralgesia,an thần giảm đau (thuốc),n,danh từ
187,ataxia,"mất điều hòa (sự), thất điều vận động, thất phối",n,danh từ
188,ataxiagram,mất điều hòa đồ,n,danh từ
189,ataxiagraph,mất điều hòa ký,n,danh từ
190,ataxiameter,mất điều hòa kế,n,danh từ
191,ataxiaphasia,mất ngữ cú pháp,n,danh từ
192,atelencephalia,kém phát triển não (sự),n,danh từ
193,atelocardia,kém phát triển tim (sự),n,danh từ
194,atelocephalous,đầu bất toàn (có),a,tính từ
195,atelocephaly,kém phá triển sọ (sự),n,danh từ
196,atelocheilia,kém phá triển môi (sự),n,danh từ
197,atelocheiria,kém phá triển bàn tay (sự),n,danh từ
198,ateloglossia,kém phá triển lưỡi (sự),n,danh từ
199,atelognathia,kém phá triển hàm (sự),n,danh từ
200,atelomyelia,kém phá triển tủy sống (sự),n,danh từ
201,atelopodia,kém phá triển bàn chân (sự),n,danh từ
202,ateloprosopia,kém phá triển mặt (sự),n,danh từ
203,atelorachidia,kém phá triển cột sống (sự),n,danh từ
204,atelostomia,kém phá triển miệng (sự),n,danh từ
205,athelia,thiếu núm vú (tật),n,danh từ
206,atherectomy,cắt bỏ mảng xơ vữa động mạch (thth),n,danh từ
207,athermic,không sốt,a,tính từ
208,athermobiosis,đời sống thiếu nhiệt,n,danh từ
209,athermosystaltic,không co do nhiệt độ,a,tính từ
210,atheroembolism,nghẽn mạch do vật nghẽn,n,danh từ
211,atheroembolus,vật nghẽn (tiểu) động mạch,n,danh từ
212,atherogenesis,hình thành vữa động mạch (sự),n,danh từ
213,atherogenic,gây vữa động mạch,a,tính từ
214,atheromatosis,vữa động mạch (bh),n,danh từ
215,atherosclerosis,xơ vữa động mạch (bh),n,danh từ
216,athetoid,dạng múa vờn,a,tính từ
217,athiaminosis,thiếu vitamin B1 (bh),n,danh từ
218,athrocytosis,khả năng hút thải chọn lọc của tế bào,n,danh từ
219,athrophagocytosis,thực bào phi dinh dưỡng (sự),n,danh từ
220,athymia,1.bàng quan (tính khí) ; 2. bất tỉnh nhân sự ; 3. thiếu tuyến ức (sự),n,danh từ
221,athyrea,giảm năng tuyến giáp,n,danh từ
222,athyroidemia,thiếu thyroxin-huyết,n,danh từ
223,atlantad,hướng đốt đội,ad,tính từ
224,atlantal,đốt đội (th),a,tính từ
225,atlantoaxial,đốt đội-trục (th),a,tính từ
226,atlantodidymus,quái thai hai đầu,n,danh từ
227,atlantomastoid,đốt đội-mỏm chũm (th),a,tính từ
228,atlanto-odontoid,đốt đội-mỏm răng đốt đội (th),a,tính từ
229,atlas,đốt đội,n,danh từ
230,atloaxoid,đốt đội-trục (th),a,tính từ
231,atloido-occipital,đốt đội-chẩm (th),a,tính từ
232,atmiatrics,liệu pháp xông,n,danh từ
233,atmograph,hô hấp ký,n,danh từ
234,atmometer,"khí hóa kế, bốc hơi kế",n,danh từ
235,atocia,vô sinh (nữ),n,danh từ
236,atomicity,"hóa trị, số nguyên tử (trong phân tử)",n,danh từ
237,atomization,phun mù (sự),n,danh từ
238,atomizer,phun mù (dụng cụ ),n,danh từ
239,atonic,mất trương lực,a,tính từ
240,atonicity,mất trương lực (tính),n,danh từ
241,atopen,dị ứng nguyên,n,danh từ
242,atopy,tạng dị ứng,n,danh từ
243,atoxic,mất độc tính,a,tính từ
244,atoxigenic,không sinh độc tố,n,danh từ
245,atransferrinemia,thiếu transferrin-huyết,n,danh từ
246,atraumatic,không gây chấn thương,a,tính từ
247,atremia,mất đi (ch) (do hysteri),n,danh từ
248,atretoblepharia,liền mí (tật ),n,danh từ
249,atretocephalus,tịt lỗ não (quái thai),n,danh từ
250,atretocormus,tịt lỗ thân thể (quái thai),n,danh từ
251,atretocystia,tịt bàng quang,n,danh từ
252,atretogastria,tịt dạ dày,n,danh từ
253,atretolemia,tịt thanh quản,n,danh từ
254,atretometria,tịt tử cung,n,danh từ
255,atretopsia,tịt mống mắt,n,danh từ
256,atretostomia,tịt miệng,n,danh từ
257,atreturethria,tịt niệu đạo,n,danh từ
258,atria,tâm nhĩ,n,danh từ
259,atrichosis,hói,n,danh từ
260,atriocommissuropexy,cố định mép van tâm nhĩ (thth),n,danh từ
261,atriohisian,nối tâm nhĩ với bó His (sự),n,danh từ
262,atriomegaly,phì đại tâm nhĩ,n,danh từ
263,atrionector,"nút xoang-nhĩ, nút Keith Flack ",n,danh từ
264,atriopeptin,atriopeptin,n,danh từ
265,atrioseptopexy,cố định vách tâm nhĩ (thth),n,danh từ
266,atrioseptoplasty,tạo hình vách tâm nhĩ (thth),n,danh từ
267,atriotomy,rạch tâm nhĩ (thth),n,danh từ
268,atrioventricular,tâm nhĩ-thất (th),a,tính từ
269,atriplicism,ngộ độc rau lê (Atriplex littoralis),n,danh từ
270,Atropa,Atropa (cây),n,danh từ
271,atrophedema,"phù mạch thần kinh, phù Quincke",n,danh từ
272,atrophied,teo (bị),a,tính từ
273,atrophodermatosis,teo da (bh),n,danh từ
274,atrophy,teo (ch),n,danh từ
275,atropine,atropin,n,danh từ
276,atropinic,giống atropin (tác dụng ),a,tính từ
277,atropinization,"điều trị atropin, xử lý bằng atropin",n,danh từ
278,attachment,"cài, gắn (sự); gài (cái), mắc (cái)",n,danh từ
279,attack,cơn,n,danh từ
280,attar,tinh dầu,n,danh từ
281,attention,"chú ý (sự), quan tâm (sự)",n,danh từ
282,attenuant,"loãng (làm), làm loãng",n,danh từ
283,attenuate,"giảm (làm),  loãng (làm), giảm độc",v,động từ
284,attenuation," giảm (làm),  loãng (làm), giảm độc tính",n,danh từ
285,attic,"thượng nhĩ, ngăn trên hòm nhĩ",n,danh từ
286,atticitis,viêm thượng nhĩ,n,danh từ
287,attico-,thượng nhĩ,pref.,tiền tố
288,atticoantrotomy,mở thông thượng nhĩ-hang chũm (thth),n,danh từ
289,atticomastoid,nhĩ-chũm (th),n,danh từ
290,atticotomy,mở thượng nhĩ (thth),n,danh từ
291,attitude,tư thế,n,danh từ
292,attractant,hấp dẫn (chất),n,danh từ
293,attraction,"hút (sự), hấp dẫn (sự)",n,danh từ
294,attrition,"sây sát (sự), dập nát (sự), cọ mòn (sự)",n,danh từ
295,audiclave,trợ thính (dụng cụ ),n,danh từ
296,audile,thính giác (th),a,tính từ
297,audimutitas,câm do nhận thức nghe (không hiểu được lời nói),n,danh từ
298,audioanalgesia,âm nhạc giảm đau (liệu pháp ),n,danh từ
299,audiogenic,do âm thanh,a,tính từ
300,audiogram,thính lực đồ,n,danh từ
301,audiologist,thính học (chuyên gia),n,danh từ
302,audiology,thính học,n,danh từ
303,audiometer,thính lực kế,n,danh từ
304,audiometrician,thính lực (chuyên viên),n,danh từ
305,audiophone,trợ thính (máy),n,danh từ
306,audition,"thính, thính giác",n,danh từ
307,auditognosis,"nhận thức âm thanh (sự), thính giác ",n,danh từ
308,auditory,thính giác (th).,a,tính từ
309,augmentor,"tăng gia, tăng gia tố",a.n,tính từ
310,augnathus,hai hàm dưới (quái thai),n,danh từ
311,aura,tiền triệu,n,danh từ
312,aureola,quầng vú,n,danh từ
313,auri-,"nhĩ, tai",pref.,tiền tố
314,auriasis,ứ đọng chất vàng (ch),n,danh từ
315,auric,"vàng (thuộc, chứa) ",a,tính từ
316,auricular,"nhĩ (th), tai (th)",a,tính từ
317,auriculare,điểm trên ống tai ngoài,n,danh từ
318,auriculocranial,tai-sọ (th),a,tính từ
319,auriculotemporal,tai-thái dương (th),a,tính từ
320,auriculotherapy,liệu pháp tai,n,danh từ
321,auriculoventricular,tâm nhĩ thất (th),a,tính từ
322,aurid,ban do vàng,n,danh từ
323,auriform,hình tai,a,tính từ
324,aurinarium,thuốc đạn tai,n,danh từ
325,aurinasal,tai-mũi (th),a,tính từ
326,auripigment,asen III sulfur,n,danh từ
327,auripuncture,chọc màng nhĩ,n,danh từ
328,auris,tai,n,danh từ
329,auriscope,soi tai (cái),n,danh từ
330,aurist,"khoa tai (chuyên gia), chuyên gia khoa tai",n,danh từ
331,auristics,"trị bệnh tai (thuật), khoa tai",n,danh từ
332,auro-,vàng,pref.,tiền tố
333,aurochromoderma,da nhiễm vàng (ch),n,danh từ
334,aurotherapy,"liệu pháp vàng, kim liệu pháp",n,danh từ
335,aurum,vàng,n,danh từ
336,auscultation,thính chẩn (phép),n,danh từ
337,auscultatory,thính chẩn (th),a,tính từ
338,auscultoplectrum,thính gõ chẩn (dụng cụ),n,danh từ
339,auscultoscope,ống nghe tăng âm,n,danh từ
340,autacoid,autacoit (chất điều hòa nội sinh),n,danh từ
341,autechoscope,tự thính chẩn (dụng cụ),n,danh từ
342,autecology,sinh thái học cá thể,n,danh từ
343,autemesia,"nôn chức năng, nôn tự phát",n,danh từ
344,autoaccusation,tự buộc tội (sự),n,danh từ
345,autoactivation,tự hoạt hóa (sự),n,danh từ
346,autoagglutination,tự ngưng kết (sự),n,danh từ
347,autoagglutinin,tự ngưng kết tố,n,danh từ
348,autoamputation,tự rụng (sự) (như polip),n,danh từ
349,autoanalysis,tự phân tích (sự),n,danh từ
350,autoanamnesis,tự kể bệnh sử,n,danh từ
351,autoanaphylaxis,tự phản vệ,n,danh từ
352,autoantibody,tự kháng thể,n,danh từ
353,autoanticomplement,"tự kháng bổ thể, kháng bổ thể tự thân",n,danh từ
354,autoantigen,tự kháng nguyên,n,danh từ
355,autoantisepsis,tự khử khuẩn,n,danh từ
356,autoantitoxin,tự kháng độc tố,n,danh từ
357,autoaudible,tự nghe thấy (chỉ tiếng tim),a,tính từ
358,autobiotic,tự sinh (chất),a,tính từ
359,autobody,tự thể (một loại kháng thể),n,danh từ
360,autocatalyst,tự xúc tác (chất),n,danh từ
361,autocatharsis,tự xả trừ (phép),n,danh từ
362,autocatheterism,tự đặt ống thông,n,danh từ
363,autocholecystectomy,tự cắt bỏ túi mật,n,danh từ
364,autochthonous,"tại chỗ, địa phương, bản địa, bản thổ (th)",a,tính từ
365,autoclasis,"tự hủy , tự phá hoại",n,danh từ
366,autoclave,nồi hấp,n,danh từ
367,autocrine,"tự tiết, tự tiết (chất)",a.n,tính từ
368,autocystoplasty,tạo hình bàng quang tự thân (thth),n,danh từ
369,autocytotoxin,tự độc tố tế bào,n,danh từ
370,autodermic,da tự thân (trong ghép da),a,tính từ
371,autodigestion,tự tiêu,n,danh từ
372,autodrainage,tự dẫn lưu,n,danh từ
373,autoecholalia,tự lặp lời nói,n,danh từ
374,autoeczematization,eczema lan rộng,n,danh từ
375,autoerythrophagocytosis,tự thực hồng tế bào (sự) ( do bạch tế bào trung tính hoặc đơn nhân),n,danh từ
376,autofluorescence,huỳnh quang tự thân,n,danh từ
377,autofundoscope,tự soi đáy mắt (kính),n,danh từ
378,autofundoscopy,tự soi đáy mắt (sự),n,danh từ
379,autogeneic,"tự thân, mảnh ghép tự thân (th)",a,tính từ
380,autogenous,tự thân,a,tính từ
381,autograft,mảnh ghép tự thân,n,danh từ
382,autografting,ghép tự thân (thth),n,danh từ
383,autogram,vết hằn da,n,danh từ
384,autohemagglutination,tự ngưng kết (sự),n,danh từ
385,autohemagglutinin,tự ngưng kết tố,n,danh từ
386,autohemolysin,tự dung huyết tố,n,danh từ
387,autohemotherapy,liệu pháp huyết tự thân,n,danh từ
388,autohemotransfusion,truyền máu tự thân,n,danh từ
389,autoheteroploid,thể dị bội đồng tính,n,danh từ
390,autoimmune,tự miễn dịch,n,danh từ
391,autoimmunity,tự miễn dịch (trạng thái),n,danh từ
392,autoimmunization,tự miễn dịch (quá trình),n,danh từ
393,autoinfection,tự nhiễm (sự),n,danh từ
394,autoinfusion,tự dẫn huyết (sự) (về tim),n,danh từ
395,autoinoculable,tự chủng được,a,tính từ
396,autoinoculation,tự chủng (sự),n,danh từ
397,autointerference,"tự nhiễu, tự can thiệp (sự) (can thiệp bằng cách sao chép virut bằng một virút nguyên vẹn, đồng chủng, giảm độc lực)",n,danh từ
398,autoisolysin,tự đồng tiêu tố,n,danh từ
399,autokeratoplasty,ghép giác mạc tự thân (thth),n,danh từ
400,autolavage,"tự thụt rửa, tự rửa dạ dày",n,danh từ
401,autolesion,thương tích tự  gây,n,danh từ
402,autoleukoagglutinin,ngưng kết tố bạch tế bào tự thân,n,danh từ
403,autoleukocytotherapy,liệu pháp bạch tế bào tự thân,n,danh từ
404,autologous,tự thân,a,tính từ
405,autolysate,"tự tiêu (chất), tự dung (chất)",n,danh từ
406,autolysin,"tự tiêu tố, tự dung tố",n,danh từ
407,autolysosome,"thể tiêu bào tự thân, thể dung bào tự thân ",n,danh từ
408,autolyze,"tự tiêu, tự dung  ",v,động từ
409,automatic,tự  động,a,tính từ
410,automaticity," tự  động (tình trạng), tự  động tính",n,danh từ
411,automatism,tự  động tính,n,danh từ
412,automatograph,ghi vận động tự động (dụng cụ),n,danh từ
413,automixis,"tự thụ tinh, tự phối (sự)",n,danh từ
414,automysophobia,sợ bị bẩn (ám),n,danh từ
415,autonephrectomy,tự tắc thận (do bệnh),n,danh từ
416,autonephrotoxin,độc tố thận tự thân,n,danh từ
417,autonomic,"tự động , tự chủ, tự quản ",a,tính từ
418,autonomotropic,"hướng thần kinh tự động , hướng thần kinh giao cảm",a,tính từ
419,auto-ophthalmoscope,tự soi đáy mắt (máy),n,danh từ
420,auto-ophthalmoscopy,tự soi đáy mắt (thuật),n,danh từ
421,auto-oxidation,tự oxy-hóa (sự),n,danh từ
422,auto-oxidizable,tự oxy-hóa được,a,tính từ
423,autopathography,tự ghi chép bệnh (sự),n,danh từ
424,autopathy,bệnh tự phát,n,danh từ
425,autophagia,"tự tiêu, tự thực, tiêu thịt tự thân",n,danh từ
426,autophagosome,thể tự tiêu bào ??,n,danh từ
427,autophagy,"tự tiêu , tự thực",n,danh từ
428,autophilia,"ái kỷ, tự yêu mê (sự)",n,danh từ
429,autophobia,sợ đơn độc (sự); tự ghét mình (sự),n,danh từ
430,autophonometry,trắc nghiệm tự cảm chấn động âm thoa (phép),n,danh từ
431,autophony,tiếng vang tự thân,n,danh từ
432,autophyte,thực vật tự dưỡng,n,danh từ
433,autoplasmotherapy,liệu pháp huyết tương tự thân,n,danh từ
434,autoplast,miếng ghép tự thân,n,danh từ
435,autoploid,tự bội thể,n,danh từ
436,autopodium,"chân, tay, chi ",n,danh từ
437,autopoisonous,trúng độc tự thân (th),a,tính từ
438,autopolymer,tự trùng hợp (chất),n,danh từ
439,autopolymerization,tự trùng hợp (sự),n,danh từ
440,autoprotection,tự phòng vệ (sự),n,danh từ
441,autoproteolysis,"dung giải tự thân (sự), tự dung (sự)",n,danh từ
442,autoprothrombin,autoprothrombin,n,danh từ
443,autoprotolysis,tự di chuyển proton (sự),n,danh từ
444,autopsy,"giải phẫu tử thi, kiểm thi",n,danh từ
445,autopsychic,tự mình cảm nhận,a,tính từ
446,autopsychosis,loạn tâm tự kỷ,n,danh từ
447,autoradiography,chụp phóng xạ tự thân (phép),n,danh từ
448,autoreactive,phản ứng tự thân,a,tính từ
449,autoregulation,tự điều chỉnh,n,danh từ
450,autoreinfusion,tái truyền máu tự thân (sự),n,danh từ
451,autoscopy,tự thấy mình  (ảo giác ),n,danh từ
452,autosensitization,tự mẫn cảm (sự),n,danh từ
453,autosensitized,tự mẫn cảm,a,tính từ
454,autosepticemia,nhiễm khuẩn huyết tự thân,n,danh từ
455,autoserotherapy,liệu pháp huyết thanh tự thân,n,danh từ
456,autosmia,tự ngửi thấy mùi của mình (sự),n,danh từ
457,autosomal,1.nhiễm sắc thể thường (th).,a,tính từ
458,autospermotoxin,độc tố tinh trùng tự thân,n,danh từ
459,autosplenectomy,xơ teo lách (ch),n,danh từ
460,autospray,tự phun (dụng cụ),n,danh từ
461,autosterilization,khử khuẩn tự nhiên,n,danh từ
462,autostimulation,kích thích tự thân,n,danh từ
463,autosuggestibility,tự kỷ ám thị (tính),n,danh từ
464,autosuggestion,tự kỷ ám thị,n,danh từ
465,autosynthesis,tự tổng hợp (sự),n,danh từ
466,autotemnous,sinh sản tách đôi,a,tính từ
467,autotherapy,"liệu pháp tự thân , liệu pháp dịch tự thân ",n,danh từ
468,autothromboagglutinin,ngưng kết tố tiểu bản tự thân,n,danh từ
469,autotomy,tự cắt (sự),n,danh từ
470,autotopagnosia,mất định hướng bộ phận cơ thể,n,danh từ
471,autotoxin,độc tố tự thân,n,danh từ
472,autotransfusion,truyền máu tự thân,n,danh từ
473,autotransplant,ghép tự thân (vật),n,danh từ
474,autotransplantation,ghép tự thân (thth),n,danh từ
475,autotrepanation,khoan mòn sọ (sự) (do u não),n,danh từ
476,autotroph,sinh vật tự dưỡng,n,danh từ
477,autotrophic,tự dưỡng,a,tính từ
478,autotrophy,tự dưỡng (sự),n,danh từ
479,autovaccination,"tự chủng vacxin (phép), liệu pháp tự chủng",n,danh từ
480,autovaccine,vacxin tự thân,n,danh từ
481,autovaccinia,phản ứng chủng đậu,n,danh từ
482,autoxidation,tự oxy hóa (sự),n,danh từ
483,autozygous,tự đồng hợp tử,n,danh từ
484,auxanogram,phổ tăng trưởng,n,danh từ
485,auxesis,tăng trưởng (sự),n,danh từ
486,auxetic,"tăng trưởng (th), tăng trưởng (chất) ","a,n",tính từ
487,auxiliary,"phụ trợ, phụ trợ (vật)","a,n",tính từ
488,auxiliomotor,"vận động phụ trợ (th), xúc tiến vận động (th)",a,tính từ
489,auxilytic," tăng dung giải, tăng tiêu hủy",a,tính từ
490,auxin,tăng trưởng tố,n,danh từ
491,auxoaction,kích hoạt (tác dụng ),n,danh từ
492,auxocardia,to tim,n,danh từ
493,auxocyte,"tế bào sinh dục, tế bào sinh trưởng",n,danh từ
494,auxogluc,tăng ngọt (nhóm),n,danh từ
495,auxospireme,bộ xoắn sinh trưởng,n,danh từ
